"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"1",10.56,10.978,10.56,10.78,45018,2.573122
"2",10.89,11.11,10.395,10.395,138365,2.481225
"3",10.714,10.714,10.065,10.065,31547,2.402456
"4",10.285,11.33,10.285,10.835,45457,2.58625
"5",10.439,10.846,10.439,10.681,5183,2.549491
"6",10.494,10.56,10.373,10.538,13822,2.515358
"7",10.538,10.758,10.538,10.758,53972,2.567871
"8",10.769,10.912,10.23,10.78,83489,2.573122
"9",10.912,11.22,10.912,10.989,61680,2.623009
"10",10.56,10.725,10.56,10.725,7000,2.559994
"11",10.912,10.912,10.615,10.615,14659,2.533737
"12",10.56,10.56,10.34,10.549,23868,2.517984
"13",10.34,10.395,10.12,10.395,44249,2.481225
"14",10.12,10.12,9.845,9.9,65518,2.363071
"15",10.142,10.142,9.735,9.955,39089,2.376199
"16",10.032,10.406,9.944,10.12,11747,2.415584
"17",10.12,10.23,9.944,10.175,6538,2.428712
"18",10.23,10.835,10.23,10.835,73820,2.58625
"19",10.835,10.835,10.45,10.78,19100,2.573122
"20",10.824,10.835,10.725,10.725,10459,2.559994
"21",10.67,10.725,10.23,10.263,29361,2.449717
"22",10.274,10.56,10.23,10.56,29379,2.520609
"23",10.78,10.78,10.56,10.56,13968,2.520609
"24",10.45,10.769,10.45,10.769,13219,2.570496
"25",10.769,10.78,10.461,10.461,15155,2.496979
"26",10.67,10.67,10.065,10.065,38468,2.402456
"27",10.12,10.67,10.12,10.395,44968,2.481225
"28",10.395,10.395,10.362,10.395,17150,2.481225
"29",10.241,10.241,10.175,10.175,52693,2.428712
"30",10.45,10.45,10.285,10.285,31768,2.454968
"31",10.186,10.505,10.175,10.505,42874,2.507481
"32",10.45,10.45,10.34,10.45,16200,2.494353
"33",10.45,10.45,10.12,10.285,66238,2.454968
"34",10.23,10.45,10.197,10.45,18684,2.494353
"35",10.34,10.395,10.285,10.395,78588,2.481225
"36",10.45,10.45,10.285,10.285,3468,2.454968
"37",10.56,10.56,10.34,10.538,43439,2.515358
"38",10.56,10.56,10.23,10.439,12131,2.491727
"39",10.439,10.472,10.373,10.373,16588,2.475973
"40",10.373,10.56,9.911,10.23,74768,2.44184
"41",10.34,10.89,9.68,10.714,115121,2.557368
"42",10.78,11.22,10.67,11,1e+05,2.625634
"43",11,11.165,10.89,11.165,61663,2.665019
"44",10.901,10.901,10.89,10.89,17000,2.599378
"45",10.879,10.879,10.879,10.879,801,2.596753
"46",10.78,10.78,10.34,10.56,5159,2.520609
"47",10.12,10.659,10.01,10.659,13682,2.54424
"48",10.659,10.659,10.659,10.659,1022,2.54424
"49",10.021,10.45,10.021,10.285,29486,2.454968
"50",10.56,10.56,9.625,9.779,43124,2.334189
"51",9.757,10.23,9.757,10.23,1923,2.44184
"52",10.219,10.219,9.46,10.12,39950,2.415584
"53",10.219,10.45,10.065,10.065,24417,2.402456
"54",10.01,10.45,9.823,9.823,13000,2.344692
"55",10.23,10.34,10.23,10.34,18624,2.468097
"56",10.01,10.23,10.01,10.23,6031,2.44184
"57",10.12,10.615,10.076,10.076,197632,2.405082
"58",10.153,10.153,9.79,9.79,1532,2.336815
"59",10.01,10.395,9.9,10.34,18563,2.468097
"60",10.12,10.45,10.01,10.01,15928,2.389328
"61",10.01,10.12,10.01,10.12,7350,2.415584
"62",9.9,10.12,9.9,9.911,52200,2.365697
"63",10.23,10.23,10.23,10.23,411,2.44184
"64",9.9,9.9,9.9,9.9,1398,2.363071
"65",9.9,9.9,9.9,9.9,2700,2.363071
"66",9.9,9.9,9.9,9.9,0,2.363071
"67",9.13,9.9,9.13,9.79,21114,2.336815
"68",9.68,9.9,9.68,9.79,5213,2.336815
"69",9.9,9.9,9.9,9.9,14443,2.363071
"70",9.79,9.79,9.372,9.647,115501,2.302682
"71",9.79,9.79,9.79,9.79,53223,2.336815
"72",9.779,9.79,9.68,9.68,18096,2.310559
"73",9.9,9.9,9.845,9.845,2684,2.349943
"74",9.79,10.461,9.68,9.845,200977,2.349943
"75",10.219,10.23,9.713,10.153,44052,2.423461
"76",9.9,10.439,9.691,10.417,33515,2.486476
"77",10.67,10.67,10.329,10.329,890,2.465471
